,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
868,868,344205744.jpg#0r1e,entailment,"A young couple sit on the couch, the woman wearing a blue work shirt, her eyes half closed, while the man sits with his arm around her, looking towards the camera, in a gray shirt.",A couple sit on the couch,A couple is a rephrasing of a young couple.," A *young* *couple* sit on the couch, the woman wearing a blue work shirt, her eyes half closed, while the man sits with his arm around her, looking towards the camera, in a gray shirt.", A *couple* sit on the couch,Young couple is a type of couple.," A *young* *couple* sit on the couch, the woman wearing a blue work shirt, her eyes half closed, while the man sits with his arm around her, looking towards the camera, in a gray shirt.", A *couple* sit on the couch,The woman and the man make up the couple that sits on the couch.," A young *couple* sit on the *couch,* the *woman* wearing a blue work shirt, her eyes half closed, while the *man* sits with his arm around her, looking towards the camera, in a gray shirt.", A *couple* sit on the *couch*,['young couple'],['couple'],['young couple'],['couple'],"['couple', 'couch', 'woman', 'man']","['couple', 'couch']",classification
901,901,4736181045.jpg#0r1e,entailment,"A man and a woman are jumping in midair and holding hands, a cloudy sky in the background.",The man and woman are physically touching each other.,Holding hands implies touching each other.," A man and a woman are jumping in midair and *holding* *hands,* a cloudy sky in the background.", The man and woman are physically *touching* *each* *other.*,"If the man and woman are holding hands, the man and woman are physically touching each other, as holding hands is a form of touching."," A *man* and a *woman* are jumping in midair and *holding* *hands,* a cloudy sky in the background.", The *man* and *woman* are *physically* *touching* each other.,A man and woman if holding hands means physically touch each other (touching hands).," A man and a woman are jumping in midair and *holding* *hands,* a cloudy sky in the background.", The man and woman are *physically* *touching* *each* *other.*,['holding hands'],['touching each other'],"['man', 'woman', 'holding hands']","['man', 'woman', 'physically touching']",['holding hands'],['physically touching each other'],classification
917,917,425706089.jpg#1r1e,entailment,Two older men standing in front of a store of sorts.,two older men stand,The men standing describes the position they are in., Two older men *standing* in front of a store of sorts., two older *men* stand,"If you stand, you can also say you are currently standing.", Two older men *standing* in front of a store of sorts., two older men *stand*,Stand is a form of standing., Two older men *standing* in front of a store of sorts., two older men *stand*,['standing'],['men'],['standing'],['stand'],['standing'],['stand'],classification
957,957,4186516481.jpg#3r1e,entailment,A girl with a purple sweater and a green headband is doing classwork in a classroom.,A girl is doing work in a classroom.,Classwork is a type of work a girl does in a classroom., *A* *girl* with a purple sweater and a green headband is doing *classwork* in a classroom., A girl is doing *work* in a *classroom.*,Doing classwork is the same as doing work., A girl with a purple sweater and a green headband is *doing* *classwork* in a classroom., A girl is *doing* *work* in a classroom.,A girl doing classwork implies she is in class., *A* *girl* with a purple sweater and a green headband *is* *doing* *classwork* in a classroom., A *girl* is *doing* *work* *in* *a* *classroom.*,"['A girl', 'classwork']","['work', 'classroom']",['doing classwork'],['doing work'],"['A girl', 'is doing classwork']","['girl', 'doing work in a classroom']",classification
962,962,3019776218.jpg#0r1e,entailment,A young boy is looking into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head.,A person looking,Young boy is person., A *young* *boy* is looking into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head., A *person* looking,"A boy is a person, so a boy looking can be a person looking.", A young *boy* *is* *looking* into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head., A *person* *looking*,A boy is a type of person., A young *boy* is looking into a silver cellphone while resting his light brown-haired head on top of a resting blond dog's head., A *person* looking,['young boy'],['person'],['boy is looking'],['person looking'],['boy'],['person'],classification
989,989,3360582670.jpg#3r1e,entailment,A young adolescent is jumping into a pool.,The child is diving in the pool.,Diving is a form of jumping.  A child is a young adolescent., A young *adolescent* is *jumping* into a pool., The *child* is *diving* in the pool.,"Young adolescent  is a child, and diving is a form of jumping.", A *young* *adolescent* is *jumping* into a pool., The *child* is *diving* in the pool.,"Young adolescent is a child, jumping and diving are same actions.", A *young* *adolescent* is *jumping* into a pool., The *child* is *diving* in the pool.,"['adolescent', 'jumping']","['child', 'diving']","['young adolescent', 'jumping']","['child', 'diving']","['young adolescent', 'jumping']","['child', 'diving']",classification
1015,1015,3662271861.jpg#3r1e,entailment,An adult ballerina shows you children how to dance.,A ballerina is teaching kids ballet.,Ballet is a form of dance., An adult ballerina shows you children how to *dance.*, A ballerina is teaching kids *ballet.*,"Adult ballerina is a type of ballerina, and children are kids.", An *adult* *ballerina* shows you *children* how to dance., A *ballerina* is teaching *kids* ballet.,"If the ballerina shows kids how to dance, they are teaching the children.", An adult ballerina *shows* you children *how* *to* *dance.*, A ballerina is *teaching* kids ballet.,['dance'],['ballet'],"['adult ballerina', 'children']","['ballerina', 'kids']","['shows', 'how to dance']",['teaching'],classification
1019,1019,3375549004.jpg#0r1e,entailment,People in orange robes line up behind a man wearing sunglasses.,People line up behind a one other person.,Line up behind a man means line up behind one other person., People in orange robes *line* *up* *behind* *a* *man* wearing sunglasses., People *line* *up* *behind* a *one* *other* *person.*,The man that the people are lining up behind is probably the man wearing sunglasses., People in orange robes line up *behind* *a* *man* *wearing* *sunglasses.*, People line up *behind* *a* *one* *other* *person.*,People in orange robes are a type of people., *People* *in* *orange* *robes* line up behind a man wearing sunglasses., *People* line up behind a one other person.,['line up behind a man'],"['line up behind', 'one other person']",['behind a man wearing sunglasses'],['behind a one other person'],['People in orange robes'],['People'],classification
1056,1056,384668736.jpg#3r1e,entailment,A man in a yellow shirt does East Asian calligraphy.,A man does calligraphy.,East Asian Calligraphy is a specific type of calligraphy., A man in a yellow shirt does *East* *Asian* calligraphy., A man does *calligraphy.*,A man can do Asian calligraphy., *A* *man* in a yellow shirt does East *Asian* *calligraphy.*, *A* *man* does *calligraphy.*,A man in yellow shirt is doing a East Asian Calligraphy as mentioned in both the sentences., A man in a yellow shirt does East Asian *calligraphy.*, A man does *calligraphy.*,['East Asian'],['calligraphy'],"['A man', 'Asian calligraphy']","['A man', 'calligraphy']",['calligraphy'],['calligraphy'],classification
1064,1064,3155601377.jpg#3r1c,entailment,A sleeping toddler has toppled out of his crib.,A baby,A toddler is a type of baby.  A baby toppled his crib., A sleeping *toddler* has *toppled* out of *his* *crib.*, A *baby*,Another way to say a toddler is a baby., A sleeping *toddler* has toppled out of his crib., A *baby*,A toddler and baby are synonymous as part of the total description., A sleeping *toddler* has toppled out of his crib., A *baby*,"['toddler', 'toppled', 'his crib']",['baby'],['toddler'],['baby'],['toddler'],['baby'],classification
1069,1069,1401961581.jpg#1r1e,entailment,"The small girl is sitting in a harness, strapped to a tether, while others watch.",There is a girl in a harness.,Small girl is a type of girl.," The *small* *girl* is sitting in a harness, strapped to a tether, while others watch.", There is a *girl* in a harness.,"""There is a girl in a harness"" is a simplified rephrasing of ""The small girl is sitting in a harness, strapped to a tether, while others watch."""," The small *girl* is sitting in a *harness,* strapped to a tether, while others watch.", There is a *girl* in a *harness.*,both statements say a girl is in a harness.," The small *girl* is sitting *in* *a* *harness,* strapped to a tether, while others watch.", There is a *girl* *in* *a* *harness.*,['small girl'],['girl'],"['girl', 'harness']","['girl', 'harness']","['girl', 'in a harness']",['girl in a harness'],classification
1077,1077,3533713163.jpg#3r1e,entailment,People are walking along the street.,Humans beings are ambling down a road.,People are humans.  Walking along is a synonym for ambling down., *People* are *walking* *along* the street., *Humans* beings are *ambling* *down* a road.,Ambling is a form of walking., People are *walking* along the street., Humans beings are *ambling* down a road.,People are human beings and a walk along the street is the same as ambling down a road., *People* are *walking* *along* *the* *street.*, *Humans* *beings* are *ambling* *down* *a* *road.*,"['People', 'walking along']","['Humans', 'ambling down']",['walking'],['ambling'],"['People', 'walking along the street']","['Humans beings', 'ambling down a road']",classification
